Date,Open,High,Low,Close,Adj Close,Volume
2015-12-01,54.459999,54.750000,53.900002,54.610001,50.037464,7704100
2015-12-02,54.209999,54.570000,52.180000,52.549999,48.149944,10649300
2015-12-03,52.810001,52.980000,51.480000,51.610001,47.288654,10673000
2015-12-04,50.840000,51.490002,50.160000,51.189999,46.903835,9393900
2015-12-07,49.730000,50.290001,48.160000,48.990002,44.888035,11541400
2015-12-08,47.650002,49.150002,46.880001,48.299999,44.255806,8723000
2015-12-09,48.349998,49.740002,47.750000,48.470001,44.411568,9891000
2015-12-10,48.230000,49.950001,48.009998,49.220001,45.098774,11059900
2015-12-11,48.250000,48.450001,46.810001,48.130001,44.100052,14658400
2015-12-14,47.580002,50.139999,47.400002,49.529999,45.382820,14173900
2015-12-15,50.349998,51.060001,50.139999,50.560001,46.326580,10759900
2015-12-16,50.299999,50.840000,49.119999,49.349998,45.217892,11438900
2015-12-17,49.369999,49.459999,46.919998,47.279999,43.321201,12951100
2015-12-18,47.049999,47.580002,45.759998,45.930000,42.084244,16525400
2015-12-21,46.029999,46.150002,44.560001,45.099998,41.323746,10873300
2015-12-22,45.180000,46.560001,44.910000,46.279999,42.404938,10361500
2015-12-23,47.290001,49.070000,47.270000,49.029999,44.924686,9806900
2015-12-24,49.040001,49.209999,48.060001,48.590000,44.521523,3262100
2015-12-28,47.610001,47.790001,46.939999,47.189999,43.238743,8786600
2015-12-29,48.230000,48.369999,47.200001,47.770000,43.770184,6285300
2015-12-30,46.939999,47.740002,46.540001,46.599998,42.698139,6605100
2015-12-31,46.060001,47.200001,45.880001,46.689999,42.780605,6681700
2016-01-04,46.410000,47.770000,46.080002,46.880001,42.954704,8918000
2016-01-05,46.669998,47.520000,45.990002,47.400002,43.431164,7012400
2016-01-06,46.099998,46.320000,45.040001,45.349998,41.552811,10995600
2016-01-07,44.740002,45.619999,43.919998,44.060001,40.370815,10844000
2016-01-08,44.180000,44.590000,42.869999,43.290001,39.665287,9118800
2016-01-11,43.320000,43.619999,40.599998,41.119999,37.676994,17258800
2016-01-12,41.869999,42.040001,39.130001,40.250000,36.879837,16782900
2016-01-13,40.750000,41.790001,38.869999,39.000000,35.734497,19016500
2016-01-14,39.209999,41.830002,38.660000,41.250000,37.796101,18244800
2016-01-15,39.340000,40.450001,38.360001,39.360001,36.064358,19118600
2016-01-19,39.740002,39.889999,35.599998,36.400002,33.352211,20838200
2016-01-20,35.540001,35.610001,32.709999,34.750000,31.840359,31382700
2016-01-21,34.869999,37.340000,34.639999,36.910000,33.819500,19576200
2016-01-22,38.209999,39.570000,36.740002,37.669998,34.515858,18558700
2016-01-25,36.799999,37.480000,34.189999,34.200001,31.336414,19646800
2016-01-26,35.070000,35.910000,33.439999,35.349998,32.390110,28696200
2016-01-27,34.919998,37.730000,34.180000,36.209999,33.178101,22071800
2016-01-28,37.919998,39.430000,37.080002,38.020000,34.836563,16876200
2016-01-29,38.090000,39.270000,37.520000,39.080002,35.807812,18712600
2016-02-01,38.240002,38.980000,37.610001,38.599998,35.367989,12782800
2016-02-02,37.610001,38.180000,36.439999,36.590000,33.526295,15918800
2016-02-03,37.590000,38.730000,35.590000,38.630001,35.395489,19847700
2016-02-04,38.500000,39.000000,35.020000,35.320000,32.362633,49188200
2016-02-05,34.020000,34.410000,31.590000,32.900002,30.145264,46173200
2016-02-08,31.950001,34.500000,31.680000,34.430000,31.547152,21946200
2016-02-09,33.220001,34.160000,32.700001,33.580002,30.768328,20405400
2016-02-10,33.290001,34.380001,32.060001,32.340000,29.632151,16643400
2016-02-11,31.230000,32.380001,31.049999,31.879999,29.438231,20843100
2016-02-12,32.290001,33.349998,31.900000,32.900002,30.380112,14965400
2016-02-16,33.490002,33.700001,32.549999,32.759998,30.250830,12851700
