Date,Open,High,Low,Close,Adj Close,Volume
2015-12-01,62.610001,63.250000,62.509998,62.770000,48.707520,145000
2015-12-02,62.750000,63.049999,61.880001,62.169998,48.241940,127500
2015-12-03,62.099998,62.450001,61.520000,61.660000,47.846195,128100
2015-12-04,61.459999,62.080002,61.099998,61.759998,47.923798,133600
2015-12-07,60.349998,60.490002,58.360001,58.750000,45.588135,193000
2015-12-08,57.709999,58.619999,57.360001,58.340000,45.269985,119500
2015-12-09,58.419998,59.630001,58.119999,58.459999,45.363094,102900
2015-12-10,57.540001,57.880001,57.000000,57.150002,44.346588,146800
2015-12-11,55.910000,56.200001,55.470001,55.730000,43.244709,163100
2015-12-14,55.869999,56.090000,55.119999,55.910000,43.384380,206000
2015-12-15,56.869999,58.220001,56.610001,57.820000,44.866482,289100
2015-12-16,60.590000,61.439999,59.740002,60.980000,47.318539,250300
2015-12-17,61.090000,61.090000,59.439999,59.720001,46.340824,174700
2015-12-18,59.700001,60.080002,59.189999,59.740002,46.356339,197700
2015-12-21,59.750000,59.820000,58.919998,59.500000,46.170105,191200
2015-12-22,59.759998,60.560001,59.560001,60.250000,46.752079,189200
2015-12-23,62.590000,63.639999,62.590000,63.610001,49.359337,147300
2015-12-24,63.750000,64.220001,63.630001,63.639999,49.382614,108300
2015-12-28,60.660000,63.160000,57.360001,61.090000,47.403900,165500
2015-12-29,61.599998,61.840000,61.099998,61.310001,47.574608,157600
2015-12-30,60.549999,61.000000,60.000000,60.040001,46.589134,136600
2015-12-31,59.779999,60.500000,59.459999,59.980000,46.542572,145100
2016-01-04,58.389999,58.630001,57.549999,58.380001,45.301025,240400
2016-01-05,58.509998,58.740002,58.099998,58.430000,45.339825,83000
2016-01-06,56.619999,56.919998,55.810001,56.119999,43.547333,179600
2016-01-07,53.799999,55.419998,53.490002,53.709999,41.677246,222700
2016-01-08,55.470001,55.990002,54.430000,54.480000,42.274750,196800
2016-01-11,55.410000,55.450001,53.950001,54.490002,42.282505,159500
2016-01-12,55.470001,55.639999,54.000000,54.770000,42.499775,168700
2016-01-13,55.270000,55.959999,53.520000,53.770000,41.723804,134700
2016-01-14,53.810001,54.889999,53.000000,54.810001,42.530815,190800
2016-01-15,50.520000,51.029999,49.599998,50.610001,39.271748,223000
2016-01-19,53.130001,53.270000,51.520000,52.020000,40.365868,196700
