Date,Open,High,Low,Close,Adj Close,Volume
2015-12-01,150.029999,152.380005,148.500000,152.380005,148.976990,16000
2015-12-02,150.800003,153.449997,146.970001,151.350006,147.970016,29400
2015-12-03,151.600006,152.990005,147.199997,151.100006,147.725586,9500
2015-12-04,150.139999,152.750000,147.699997,150.759995,147.393173,34900
2015-12-07,148.889999,149.000000,145.899994,147.000000,143.717148,7600
2015-12-08,145.449997,146.809998,144.259995,145.800003,142.543945,7700
2015-12-09,144.979996,146.990005,141.500000,145.619995,142.367966,13800
2015-12-10,143.669998,145.449997,143.149994,145.199997,141.957352,5700
2015-12-11,143.860001,143.860001,140.600006,142.740005,139.552292,3100
2015-12-14,140.000000,141.500000,139.929993,139.990005,136.863708,16800
2015-12-15,138.699997,141.589996,137.940002,139.699997,136.580170,14500
2015-12-16,138.649994,140.899994,133.740005,134.089996,131.095444,24400
2015-12-17,132.520004,133.350006,125.000000,132.740005,129.775635,17700
2015-12-18,133.000000,134.000000,130.000000,130.820007,127.898506,11000
2015-12-21,131.100006,132.699997,125.000000,126.169998,123.352325,20400
2015-12-22,125.480003,132.520004,125.370003,132.520004,129.560516,14700
2015-12-23,129.529999,138.330002,129.529999,135.479996,132.454391,9900
2015-12-24,134.979996,138.360001,134.550003,136.710007,133.656952,3000
2015-12-28,136.080002,137.750000,130.679993,131.240005,128.309113,8300
2015-12-29,130.210007,133.110001,126.309998,126.589996,123.762947,17100
2015-12-30,126.199997,127.599998,121.110001,122.589996,119.852272,24900
2015-12-31,121.750000,130.919998,119.800003,130.919998,127.996246,19500
2016-01-04,126.000000,126.260002,122.000000,124.760002,121.973824,11000
2016-01-05,124.970001,126.019997,123.349998,126.019997,123.205666,5400
2016-01-06,123.360001,125.480003,122.050003,124.169998,121.396988,7100
2016-01-07,123.610001,127.730003,122.250000,127.660004,124.809052,6400
2016-01-08,127.160004,128.210007,120.550003,122.510002,119.774063,22700
2016-01-11,124.599998,124.599998,122.250000,122.250000,119.519875,12700
2016-01-12,122.980003,123.000000,117.099998,118.309998,115.667862,18800
2016-01-13,118.480003,119.000000,111.500000,113.470001,110.935951,23500
2016-01-14,112.779999,118.989998,112.000000,116.370003,113.771179,14800
2016-01-15,113.809998,115.269997,112.410004,112.709999,110.192924,13800
2016-01-19,112.209999,112.209999,108.150002,110.360001,107.895401,13200
2016-01-20,107.220001,115.750000,104.059998,115.750000,113.165024,43800
2016-01-21,114.910004,124.550003,114.910004,124.139999,121.367668,22600
2016-01-22,126.669998,128.000000,124.709999,126.449997,123.626068,11300
2016-01-25,124.279999,127.330002,121.129997,123.349998,120.595306,9600
2016-01-26,124.000000,125.949997,121.309998,123.129997,120.380219,5100
2016-01-27,123.989998,123.989998,118.860001,121.040001,118.336891,7200
2016-01-28,123.430000,124.500000,121.000000,124.000000,121.230789,8400
2016-01-29,124.080002,124.760002,118.459999,121.910004,119.187477,17400
2016-02-01,120.010002,126.000000,120.010002,125.989998,123.176338,2300
2016-02-02,122.279999,132.500000,122.279999,129.520004,126.627525,13500
2016-02-03,130.800003,131.500000,125.599998,127.680000,124.828606,6600
2016-02-04,129.740005,132.330002,125.589996,126.510002,123.684738,7700
2016-02-05,126.800003,126.800003,120.000000,120.050003,117.369003,50300
2016-02-08,120.000000,121.410004,119.949997,120.040001,117.359222,10300
2016-02-09,119.120003,120.029999,115.550003,117.470001,114.846619,9500
2016-02-10,117.349998,120.959999,117.349998,120.019997,117.339668,8000
2016-02-11,114.599998,118.809998,114.599998,116.099998,113.507217,7700
2016-02-12,118.300003,122.739998,117.000000,118.000000,115.364784,13800
2016-02-16,120.500000,124.650002,120.000000,123.010002,120.262901,4900
2016-02-17,121.580002,127.199997,121.580002,124.820000,122.032478,2400
2016-02-18,124.099998,129.610001,120.260002,128.940002,126.060471,10000
2016-02-19,126.000000,134.199997,124.639999,131.039993,128.113571,10100
2016-02-22,131.600006,134.000000,125.269997,126.970001,124.134460,11300
