Date,Open,High,Low,Close,Adj Close,Volume
2016-03-04,130.000000,133.300003,126.279999,128.800003,127.713173,3940000
2016-03-07,128.160004,131.729996,122.080002,130.639999,129.537659,5133600
2016-03-08,129.440002,130.940002,124.449997,125.650002,124.589767,3044700
2016-03-09,127.760002,129.500000,124.300003,128.679993,127.594170,1981500
2016-03-10,127.269997,130.960007,125.500000,129.490005,128.397385,2506200
2016-03-11,131.500000,137.979996,131.429993,137.039993,135.883636,3479800
2016-03-14,135.509995,137.539993,134.029999,135.389999,134.247559,2303100
2016-03-15,133.899994,135.899994,132.380005,135.589996,134.445892,1989900
2016-03-16,136.710007,139.250000,132.949997,137.479996,136.319931,2624300
2016-03-17,139.309998,144.300003,137.820007,142.250000,141.049683,3774300
2016-03-18,143.509995,145.210007,139.720001,143.080002,141.872696,3917000
2016-03-21,142.089996,145.869995,139.169998,142.080002,140.881134,2345800
2016-03-22,141.339996,143.449997,140.080002,140.199997,139.016983,1405000
2016-03-23,139.740005,139.899994,135.820007,136.770004,135.615921,1872700
2016-03-24,133.500000,139.500000,131.360001,139.190002,138.015518,1746800
2016-03-28,139.630005,140.000000,134.139999,137.460007,136.300110,1640300
2016-03-29,136.389999,140.000000,134.949997,139.839996,138.700378,1713000
2016-03-30,141.130005,142.610001,139.279999,140.410004,139.265747,2059500
2016-03-31,139.520004,141.270004,138.110001,140.740005,139.593063,2020500
2016-04-01,137.190002,140.740005,136.970001,139.759995,138.621033,1456100
2016-04-04,140.830002,143.589996,137.919998,138.440002,137.311783,1907900
2016-04-05,137.419998,142.050003,137.419998,141.039993,139.890610,2036100
2016-04-06,142.460007,145.250000,141.250000,142.929993,141.765213,2049800
2016-04-07,142.149994,143.410004,140.000000,141.779999,140.624557,1378800
2016-04-08,145.119995,147.820007,143.419998,144.770004,143.590210,1661900
2016-04-11,145.720001,146.710007,142.419998,142.550003,141.388306,1731300
2016-04-12,143.240005,150.330002,142.789993,147.410004,146.208694,2897700
2016-04-13,147.360001,147.750000,143.720001,146.649994,145.454895,2370600
2016-04-14,147.000000,149.809998,145.000000,149.660004,148.440369,2090200
2016-04-15,148.279999,149.289993,143.750000,144.130005,142.955429,2847000
2016-04-18,140.500000,148.740005,139.000000,147.330002,146.129364,2256900
2016-04-19,148.850006,153.139999,147.550003,152.169998,150.929901,2790100
2016-04-20,151.740005,156.250000,149.710007,154.729996,153.469025,2228800
2016-04-21,155.149994,155.979996,150.139999,150.630005,149.402466,2349000
2016-04-22,151.740005,155.440002,151.289993,153.149994,151.901901,2247800
2016-04-25,152.500000,154.309998,151.559998,153.500000,152.249069,2101700
2016-04-26,159.289993,166.750000,158.699997,165.360001,164.012390,4868400
2016-04-27,168.589996,171.880005,163.550003,168.720001,167.345047,3882400
2016-04-28,167.190002,171.080002,163.759995,164.990005,163.645432,2431700
2016-04-29,165.320007,168.880005,162.050003,166.100006,164.746384,2182000
