Date,Open,High,Low,Close,Adj Close,Volume
2015-12-01,76.809998,78.220001,76.500000,78.169998,68.691460,8172200
2015-12-02,77.389999,78.199997,75.620003,75.809998,66.617638,9595000
2015-12-03,76.459999,76.620003,74.139999,74.809998,65.738884,8292700
2015-12-04,73.830002,75.059998,73.160004,74.709999,65.651016,8605300
2015-12-07,72.650002,73.279999,72.070000,72.800003,63.972622,10563000
2015-12-08,71.220001,72.989998,69.699997,71.500000,62.830242,8305200
2015-12-09,72.099998,74.050003,71.419998,72.120003,63.375080,9310300
2015-12-10,71.790001,73.230003,71.400002,71.480003,62.812660,7200900
2015-12-11,71.480003,71.480003,69.720001,69.820000,61.353951,9436100
2015-12-14,69.379997,70.529999,69.110001,70.019997,61.529709,11322500
2015-12-15,71.000000,72.129997,70.559998,71.839996,63.129009,10511800
2015-12-16,71.500000,72.300003,70.769997,71.220001,62.584194,7865600
2015-12-17,71.110001,71.470001,69.139999,69.199997,60.809139,8278600
2015-12-18,69.040001,69.169998,67.330002,67.339996,59.174664,15152600
2015-12-21,67.440002,68.339996,67.150002,67.949997,59.710693,7861300
2015-12-22,68.419998,69.769997,68.169998,69.489998,61.063953,7950900
2015-12-23,70.610001,71.040001,69.980003,71.010002,62.399666,7757700
2015-12-24,70.900002,71.209999,70.370003,70.529999,61.977856,2968800
2015-12-28,69.519997,70.449997,69.029999,70.419998,61.881195,6616900
2015-12-29,71.680000,71.849998,69.900002,70.510002,61.960281,6987000
2015-12-30,69.410004,70.529999,69.379997,69.639999,61.195770,5744600
2015-12-31,69.370003,70.379997,69.000000,69.750000,61.292442,5271100
2016-01-04,69.449997,70.019997,67.959999,69.180000,60.791557,9160200
2016-01-05,69.339996,69.839996,68.089996,69.500000,61.072754,6783600
2016-01-06,67.919998,69.400002,67.470001,67.699997,59.491001,11923000
2016-01-07,66.230003,67.760002,65.800003,66.190002,58.164108,12041000
2016-01-08,66.360001,66.809998,64.889999,65.080002,57.188705,9657900
2016-01-11,65.190002,65.470001,63.790001,64.830002,56.969017,8693100
2016-01-12,65.949997,66.110001,63.189999,64.739998,56.889927,10189000
2016-01-13,65.599998,66.349998,63.509998,63.950001,56.195721,12729900
2016-01-14,64.360001,65.349998,61.750000,64.680000,56.837208,13814700
2016-01-15,62.060001,63.830002,61.709999,63.009998,55.369694,14702300
2016-01-19,63.160000,64.300003,62.049999,62.820000,55.202740,11463500
2016-01-20,61.400002,62.270000,59.599998,61.060001,53.656151,16075400
2016-01-21,61.209999,63.470001,60.369999,61.450001,53.998867,12999400
2016-01-22,64.519997,66.250000,62.970001,65.199997,57.294147,19387700
2016-01-25,63.900002,66.129997,63.230000,63.299999,55.624542,13865300
2016-01-26,64.389999,65.769997,63.419998,65.330002,57.408382,13829900
2016-01-27,65.339996,67.129997,64.580002,65.550003,57.601723,12629000
2016-01-28,68.230003,69.599998,67.239998,69.510002,61.081539,16450700
2016-01-29,69.980003,72.500000,69.570000,72.269997,63.506878,18255300
2016-02-01,71.120003,71.669998,70.040001,71.459999,62.795086,12047100
2016-02-02,69.320000,69.980003,68.370003,68.839996,60.492775,13600800
2016-02-03,70.029999,70.860001,67.639999,70.830002,62.241478,12837100
2016-02-04,71.529999,72.870003,70.309998,70.540001,61.986637,10892700
2016-02-05,69.739998,70.070000,68.089996,68.809998,60.466412,16470500
2016-02-08,68.029999,70.260002,67.339996,69.779999,61.318810,12547500
2016-02-09,68.910004,69.709999,67.000000,67.800003,59.578899,11138200
2016-02-10,67.769997,68.949997,67.389999,67.730003,59.517380,8324500
2016-02-11,66.300003,69.449997,66.099998,68.830002,60.483990,12122900
2016-02-12,68.879997,70.809998,68.769997,70.309998,62.236629,10756300
2016-02-16,71.349998,72.239998,70.389999,71.750000,63.511292,9571800
2016-02-17,72.550003,73.690002,72.169998,72.930000,64.555794,10132100
2016-02-18,73.730003,73.730003,72.320000,72.680000,64.334511,8123700
2016-02-19,71.970001,72.889999,71.779999,72.870003,64.502693,8339000
2016-02-22,73.820000,74.629997,73.580002,74.370003,65.830444,7649900
2016-02-23,73.879997,74.769997,71.860001,72.080002,63.803387,8201900
2016-02-24,70.889999,72.320000,70.400002,72.209999,63.918461,7857700
2016-02-25,71.930000,72.349998,70.650002,72.349998,64.042397,6358300
2016-02-26,73.120003,73.610001,72.199997,72.470001,64.148628,6000700
2016-02-29,72.349998,73.389999,71.690002,71.720001,63.484734,7726100
2016-03-01,72.459999,74.059998,72.279999,74.010002,65.511795,8321000
2016-03-02,73.470001,74.440002,72.470001,74.410004,65.865852,8584000
2016-03-03,74.040001,74.970001,73.779999,74.849998,66.255348,7811500
2016-03-04,75.110001,76.010002,73.809998,74.830002,66.237625,11415900
2016-03-07,74.309998,76.160004,73.250000,76.160004,67.414909,9614000
2016-03-08,75.260002,75.720001,72.680000,72.699997,64.352203,8727100
2016-03-09,73.750000,73.930000,72.599998,72.750000,64.396461,6966600
2016-03-10,72.800003,73.349998,72.120003,73.180000,64.777092,7058400
2016-03-11,73.900002,75.139999,73.309998,75.000000,66.388107,8054500
2016-03-14,73.970001,74.370003,73.010002,73.440002,65.007240,5949500
2016-03-15,72.480003,73.250000,71.940002,73.230003,64.821342,6815400
2016-03-16,73.680000,73.849998,72.160004,73.349998,64.927574,7173100
2016-03-17,74.110001,75.000000,73.540001,74.540001,65.980934,7072100
